docs,hosts,"data_stream.dataset"
11322,96,"apm.app.ivans_maintenance_batch"
11310,8,"elastic_agent.fleet_server"
8640,1,"kubernetes.state_deployment"
8640,1,"kubernetes.state_job"
8640,1,"kubernetes.state_replicaset"
8640,1,"kubernetes.state_namespace"
8640,1,"kubernetes.state_service"
8640,1,"kubernetes.state_pod"
8640,1,"kubernetes.state_storageclass"
8640,1,"kubernetes.state_statefulset"
8640,1,"kubernetes.state_resourcequota"
8640,1,"kubernetes.node"
8640,1,"kubernetes.state_persistentvolume"
8640,1,"kubernetes.state_daemonset"
8640,1,"kubernetes.state_cronjob"
8640,1,"kubernetes.proxy"
8639,1,"kubernetes.state_node"
8639,1,"kubernetes.state_persistentvolumeclaim"
8639,1,"kubernetes.state_container"
8506,0,"apm.app.model_api_center"
7835,265,"apm.app.inbound_npu_batch"
7418,0,"apm.app.claude_code_local"
7306,264,"apm.app.inbound_michigannotary_batch"
7229,194,"apm.app.inbound_sbd_batch"
6955,603,"apm.app.risk_engine_auto_batch"
6378,1,"gcp.storage"
5994,2,"apm.app.apex_db_migration_service"
5513,4,"apm.app.portalmicrosites_ssp_agency_data_pre_fetch_batch"
3780,1,"elastic_agent.heartbeat"
3766,184,"apm.app.bpst_notification_batch"
3368,1,"vsphere.cluster"
3325,1,"vsphere.resourcepool"
3319,1,"apm.app.wage_calculator"
3168,96,"apm.app.suruwt_cde_maintenance_batch"
2993,1,"kubernetes.event"
2880,1,"ibmmq.qmgr"
2851,2,"oracle.memory"
2851,2,"oracle.tablespace"
2851,2,"oracle.performance"
2850,2,"oracle.system_statistics"
2850,2,"oracle.sysmetric"
2742,9,"apm.app.epay_core_oneinc_remittance_batch"
2686,2,"apm.app.entpremaudit_pro"
2448,192,"apm.app.inbound_spcdatapublisher_batch"
2189,50,"apm.app.ivans_reporting_batch"
1841,51,"apm.app.inbound_notaryrotary_batch"
1817,50,"apm.app.inbound_ans_batch"
1726,50,"apm.app.inbound_sbd_ir_upload_batch"
1561,48,"apm.app.outbound_ims_batch"
1454,48,"apm.app.outbound_gallagher_batch"
1446,50,"apm.app.inbound_bonddatapublisher_batch"
1438,0,"fleet_server.agent_status"
1432,50,"apm.app.outbound_kraftlake_batch"
1241,49,"apm.app.outbound_aon_batch"
1212,49,"apm.app.outbound_seai_amfam_commission_batch"
1188,47,"apm.app.outbound_seai_amfam_weekly_batch"
1078,98,"apm.app.clmrtn_ecm_retention_batch"
1003,48,"apm.app.outbound_nea_batch"
930,48,"apm.app.ivans_dbcs_delivery_batch"
838,13,"apm.app.bna_notification_batch"
820,24,"apm.app.inbound_btis_batch"
708,50,"apm.app.epay_payment_dtls_purge_batch"
654,48,"apm.app.lockbox_remittance_batch"
584,50,"apm.app.inbound_walker_batch"
577,50,"apm.app.inbound_americanassociation_batch"
576,50,"apm.app.inbound_truckbonding_batch"
576,50,"apm.app.inbound_stegallnotary_batch"
568,2,sql
534,3,"apm.app.cnaedd_batch"
351,27,"apm.app.ssp_purge_batch"
288,24,"apm.app.epay_core_epay_batch_ar_files"
183,3,"apm.app.suruwt_reporting_batch"
120,3,"apm.app.bna_pad_sync_batch"
102,9,"apm.app.lockbox_download_batch"
53,1,"vsphere.datastorecluster"
42,3,"apm.app.portalmicrosites_ssp_delete_expired_cache_batch"
42,3,"apm.app.portalmicrosites_ssp_renewals_invalidate_batch"
40,3,"apm.app.suruwt_batch"
28,2,"apm.app.clmint_batch"
8,2,"apm.app.devxplay_java21_batch"
